book_id,book_title,current_section_id,current_sec_position,current_kind,current_part_title,current_chapter_label,current_chapter_title,current_section_title,stored_word_count,canonical_node_id,canonical_source_key,canonical_node_type,canonical_title,confidence,score,recommended_action
1,O Livro dos Espíritos,4143,1,content,null,null,null,I,220,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4144,2,content,null,null,null,Ii,1082,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4145,3,content,null,null,null,Iii,1186,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4146,4,content,null,null,null,Iv,661,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4147,5,content,null,null,null,V,655,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4148,6,content,null,null,null,Vi,1680,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4149,7,content,null,null,null,Vii,1250,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4150,8,content,null,null,null,Viii,506,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4151,9,content,null,null,null,Ix,595,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4152,10,content,null,null,null,X,603,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4153,11,content,null,null,null,Xi,269,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4154,12,content,null,null,null,Xii,968,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4155,13,content,null,null,null,Xiii,587,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4156,14,content,null,null,null,Xiv,339,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4157,15,content,null,null,null,Xv,731,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4158,16,content,null,null,null,Xvi,1383,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4159,17,content,null,null,null,Xvii,589,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4160,18,content,null,null,null,Prolegômenos,903,o-livro-dos-espiritos:front_matter:0e6da772f1cebf11,0e6da772f1cebf11,front_matter,Prolegômenos,exact,1.0,reclassify
1,O Livro dos Espíritos,4161,19,part_intro,Parte Primeira — Das causas primárias,null,null,null,3,o-livro-dos-espiritos:division:ebde4b3effbf1881,ebde4b3effbf1881,division,PARTE PRIMEIRA — Das causas primárias,exact,1.0,keep
1,O Livro dos Espíritos,4162,20,content,Parte Primeira — Das causas primárias,null,null,null,20,,,,,unmatched,0.0,review
1,O Livro dos Espíritos,4163,21,chapter_intro,Parte Primeira — Das causas primárias,CAPÍTULO I,De Deus,null,14,o-livro-dos-espiritos:chapter:872ad5d38ea86464,872ad5d38ea86464,chapter,De Deus,chapter,1.0,keep
